# FractureId; NumTraces
0; 7
# TraceId; Tips; Length
191; true; 3.5421316955079739e-02


# FractureId; NumTraces
26; 11
# TraceId; Tips; Length
20; false; 6.2264135513784147e-01
96; false; 3.1802728350911852e-01
380; false; 4.6734052579369390e-01
382; false; 3.8009660923537142e-01
381; false; 1.2046312069858810e-01
149; true; 3.9088120433452150e-01
379; true; 3.5849312813247491e-01
51; true; 2.8604972919225741e-01
168; true; 1.8829959712507519e-01
78; true; 1.4229570102831160e-01
383; true; 7.7910213708733578e-02


# FractureId; NumTraces
27; 31
# TraceId; Tips; Length
237; false; 8.4413157921099158e-01
192; false; 2.8851619876241541e-01
387; false; 1.5364841990270411e-01
350; true; 9.5462523364385499e-01
169; true; 8.8777586775709461e-01
390; true; 7.6222154856684354e-01
254; true; 7.4207253052710276e-01
385; true; 7.1993853745243341e-01
396; true; 6.7616921434791155e-01
392; true; 6.6832441573916379e-01
222; true; 6.6825684774495775e-01
52; true; 6.4841762967191341e-01
123; true; 5.3336313639516486e-01
270; true; 5.0885998254446674e-01
394; true; 4.6770087452259024e-01
319; true; 4.5992181152418038e-01
388; true; 4.2360347217407990e-01
397; true; 3.7331556112257103e-01
208; true; 3.6482203614073894e-01
393; true; 3.3151819618747275e-01
150; true; 3.2472319566450430e-01
292; true; 2.6881583157071914e-01
384; true; 2.4376424681270981e-01
337; true; 2.3423202477595281e-01
391; true; 1.9903200414361227e-01
364; true; 1.7327692022259789e-01
389; true; 1.4519292548355789e-01
386; true; 1.2907603797750661e-01
395; true; 9.9297097086766525e-02
97; true; 6.7464180324003670e-02
21; true; 3.2205721229195697e-02


# FractureId; NumTraces
28; 19
# TraceId; Tips; Length
255; false; 1.5119049650334149e-01
209; false; 6.5340490992790512e-03
402; false; 2.6448651278908519e-01
403; true; 8.7201812790973099e-01
293; true; 7.3941562791058080e-01
401; true; 6.7255169337014775e-01
170; true; 6.0907503004802821e-01
238; true; 5.8490672423816537e-01
399; true; 4.0898971470546736e-01
320; true; 3.8125375513747067e-01
305; true; 3.7250681748203807e-01
365; true; 3.2320722978942357e-01
22; true; 2.7949254124386452e-01
271; true; 2.6588082192644508e-01
384; true; 2.4376424681270981e-01
398; true; 8.8697810397097857e-02
351; true; 7.9836739385102273e-02
79; true; 6.0080722747593435e-02
400; true; 6.5333721697735676e-03


# FractureId; NumTraces
29; 30
# TraceId; Tips; Length
239; false; 1.4946028386702264e+00
411; false; 7.8709745664365149e-01
415; true; 1.3376069172495557e+00
352; true; 1.3300331137214059e+00
410; true; 8.6371444172994061e-01
413; true; 8.2743771165772695e-01
171; true; 7.6690482068332633e-01
124; true; 7.3599990753973865e-01
385; true; 7.1993853745243341e-01
151; true; 7.1535205763484022e-01
223; true; 6.7825564302855668e-01
272; true; 6.4869576984735744e-01
80; true; 6.3069832728828168e-01
53; true; 6.3045861598887976e-01
321; true; 6.1747279010479728e-01
407; true; 6.1348471200489718e-01
409; true; 5.3708322507412720e-01
338; true; 4.9703175961981028e-01
193; true; 4.5521825605442684e-01
294; true; 3.5349957052471886e-01
408; true; 3.1484993985536408e-01
256; true; 3.1319653400015235e-01
404; true; 2.8605697120784496e-01
412; true; 2.8413320620788485e-01
210; true; 1.5758016341451656e-01
23; true; 1.4004828748305068e-01
98; true; 1.0041749859015468e-01
414; true; 9.2286857992465970e-02
406; true; 8.2193698631917958e-02
405; true; 4.2640788759966138e-02


# FractureId; NumTraces
30; 13
# TraceId; Tips; Length
99; false; 7.6128311330849008e-01
379; false; 3.5849312813247491e-01
416; false; 7.0531627014905385e-01
417; true; 6.6352905733044432e-01
419; true; 5.6417288082499284e-01
281; true; 5.1449486644396136e-01
306; true; 4.0979010525824028e-01
418; true; 3.5868581597421839e-01
54; true; 3.0678991271705097e-01
421; true; 2.9355110543836521e-01
24; true; 2.1802353766625066e-01
420; true; 1.1225651454970195e-01
172; true; 8.7965946751516391e-03


# FractureId; NumTraces
31; 7
# TraceId; Tips; Length
339; false; 8.6375666718228183e-01
422; true; 5.9193615012584910e-01
194; true; 5.0627045363944068e-01
139; true; 3.5094448774549120e-01
353; true; 2.0962264456551652e-01
111; true; 3.7749700950232855e-02
125; true; 9.4905881960352864e-03


# FractureId; NumTraces
32; 16
# TraceId; Tips; Length
240; false; 3.5698050371977169e-01
424; false; 3.2332056345445570e-01
427; false; 2.0484732564070907e-01
81; true; 8.7741980933355013e-01
425; true; 8.3468425922822209e-01
173; true; 8.0899334561787051e-01
273; true; 7.5043391029709905e-01
354; true; 6.8526175581343107e-01
423; true; 6.7099456032597060e-01
224; true; 6.6877334178572767e-01
426; true; 3.0002900734229415e-01
404; true; 2.8605697120784496e-01
295; true; 2.0183382647542725e-01
322; true; 1.8790517818365202e-01
386; true; 1.2907603797750661e-01
55; true; 1.1323699097574400e-01


# FractureId; NumTraces
33; 10
# TraceId; Tips; Length
423; false; 6.7099456032597060e-01
405; false; 4.2640788759966138e-02
82; true; 6.5083394501699043e-01
429; true; 4.2210923466165090e-01
430; true; 3.7215019449520353e-01
428; true; 3.5979784083604299e-01
431; true; 3.2783791049650990e-01
241; true; 3.0293484895823447e-01
274; true; 2.2091967426285641e-01
225; true; 7.5059229172484157e-02


# FractureId; NumTraces
34; 11
# TraceId; Tips; Length
100; false; 8.0011000011290989e-01
126; false; 1.1369984160350594e-01
25; true; 9.0393217642189116e-01
416; true; 7.0531627014905385e-01
433; true; 5.4821114048019493e-01
380; true; 4.6734052579369390e-01
373; true; 3.2337647737518949e-01
56; true; 3.1062652326103490e-01
434; true; 1.3128606892244055e-01
432; true; 9.6523469108399568e-02
195; true; 2.9980431022665108e-02


# FractureId; NumTraces
35; 19
# TraceId; Tips; Length
57; false; 6.4832288190895948e-01
127; false; 2.1755214765727451e-01
406; false; 8.2193698631917958e-02
436; false; 7.8206681290619695e-01
438; false; 5.3001596569345477e-01
435; false; 6.2393320231845635e-02
26; true; 8.8368803295815745e-01
374; true; 8.4738823699890353e-01
439; true; 6.4303583459504898e-01
440; true; 5.7705607776268120e-01
152; true; 5.1061979220506304e-01
83; true; 4.2156776278981545e-01
323; true; 4.1444694135893845e-01
174; true; 3.7856466366688668e-01
101; true; 3.4256644263550545e-01
196; true; 2.4469509490708494e-01
437; true; 1.7931957841530666e-01
387; true; 1.5364841990270411e-01
340; true; 1.4783836405562725e-01


# FractureId; NumTraces
36; 23
# TraceId; Tips; Length
242; false; 1.0326102134305755e+00
407; false; 6.1348471200489718e-01
366; false; 2.0922272072655768e-01
443; false; 1.5962104701772914e-01
445; true; 1.0147308726105231e+00
441; true; 7.8949769956041438e-01
355; true; 6.5495659492842340e-01
175; true; 6.5463051593251897e-01
58; true; 5.9895445080443532e-01
128; true; 5.2803578637605542e-01
153; true; 4.7522431936079246e-01
388; true; 4.2360347217407990e-01
324; true; 3.9889715492935668e-01
428; true; 3.5979784083604299e-01
424; true; 3.2332056345445570e-01
444; true; 3.2029487419500524e-01
442; true; 3.2007771748560876e-01
197; true; 2.9531317310365923e-01
84; true; 2.9325172090586371e-01
341; true; 2.5745090772180412e-01
27; true; 1.4498749477242048e-01
257; true; 1.2802098645861901e-01
296; true; 1.0847641805485218e-01


# FractureId; NumTraces
37; 17
# TraceId; Tips; Length
243; false; 8.8545561466730127e-01
408; false; 3.1484993985536408e-01
448; false; 8.8874183004339502e-01
447; false; 5.9762589789035681e-01
425; true; 8.3468425922822209e-01
441; true; 7.8949769956041438e-01
356; true; 6.0582187790190567e-01
226; true; 6.0020545214109977e-01
429; true; 4.2210923466165090e-01
